disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,state,amount_cleaned,non_disclosure_period(days)
2021,2021-10-04 00:00:00,2021-09-27 00:00:00,joint,BP,BP plc,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,False,NC,8000.5,7.0
2021,2021-10-04 00:00:00,2021-09-13 00:00:00,joint,XOM,Exxon Mobil Corporation,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,False,NC,8000.5,21.0
2021,2021-10-04 00:00:00,2021-09-10 00:00:00,joint,ILPT,Industrial Logistics Properties Trust - Common Shares of Beneficial Interest,purchase,"$15,001 - $50,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,False,NC,32500.5,24.0
2021,2021-10-04 00:00:00,2021-09-28 00:00:00,joint,PM,Phillip Morris International Inc,purchase,"$15,001 - $50,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,False,NC,32500.5,6.0
2021,2021-10-04 00:00:00,2021-09-17 00:00:00,self,BLK,BlackRock Inc,sale_partial,"$1,001 - $15,000",Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019570.pdf,False,CA,8000.5,17.0
2021,2021-12-01 00:00:00,2021-12-01 00:00:00,joint,AXP,American Express Company,purchase,"$1,001 - $15,000",Aston Donald McEachin,VA04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019930.pdf,False,VA,8000.5,0.0
2021,2021-12-01 00:00:00,2021-11-30 00:00:00,missing,KPLTW,Katapult Holdings Inc - Warrant,purchase,"$1,001 - $15,000",Austin Scott,GA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019915.pdf,False,GA,8000.5,1.0
2021,2021-12-01 00:00:00,2021-11-18 00:00:00,missing,AMD,Advanced Micro Devices Inc,sale_full,"$50,001 - $100,000",Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False,NY,75000.5,13.0
2021,2021-12-01 00:00:00,2021-11-18 00:00:00,missing,AAPL,Apple Inc,sale_full,"$50,001 - $100,000",Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False,NY,75000.5,13.0
2021,2021-12-01 00:00:00,2021-11-24 00:00:00,missing,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False,NY,75000.5,7.0
2021,2021-12-01 00:00:00,2021-11-24 00:00:00,missing,MS,Morgan Stanley,purchase,"$100,001 - $250,000",Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False,NY,175000.5,7.0
2021,2021-12-01 00:00:00,2021-11-16 00:00:00,missing,NEE,NextEra Energy Inc,sale_full,"$1,001 - $15,000",Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False,NY,8000.5,15.0
2021,2021-12-01 00:00:00,2021-11-16 00:00:00,missing,SLVM,Sylvamo Coproration,sale_full,"$1,001 -",Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False,NY,53267.76,15.0
2021,2021-12-01 00:00:00,2021-11-18 00:00:00,missing,CG,The Carlyle Group Inc,sale_full,"$50,001 - $100,000",Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False,NY,75000.5,13.0
2021,2021-11-02 00:00:00,2021-10-13 00:00:00,joint,MO,Altria Group Inc,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,NC,8000.5,20.0
2021,2021-11-02 00:00:00,2021-10-07 00:00:00,joint,DUKH,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,sale_full,"$50,001 - $100,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,NC,75000.5,26.0
2021,2021-11-02 00:00:00,2021-10-08 00:00:00,joint,GSK,GlaxoSmithKline PLC,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,NC,8000.5,25.0
2021,2021-11-02 00:00:00,2021-10-07 00:00:00,joint,OLP,One Liberty Properties Inc,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,NC,8000.5,26.0
2021,2021-11-02 00:00:00,2021-10-04 00:00:00,joint,PPL,PPL Corporation,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,NC,8000.5,29.0
2021,2021-11-02 00:00:00,2021-10-25 00:00:00,joint,SCU,Sculptor Capital Management Inc Class A,purchase,"$15,001 - $50,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,NC,32500.5,8.0
2021,2021-11-02 00:00:00,2021-10-26 00:00:00,joint,SCU,Sculptor Capital Management Inc Class A,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,NC,8000.5,7.0
2021,2021-11-02 00:00:00,2021-10-08 00:00:00,joint,VIASP,Via Renewables Inc - 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,NC,8000.5,25.0
